id,player_list,room_id
1,"[""f873ae91-4c2a-4fe0-a5d5-c4555525714a"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",24
2,[],29
3,"[""2fa45349-a749-4ccc-843a-bf690fa544ee"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",29
4,"[""2fa45349-a749-4ccc-843a-bf690fa544ee"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",29
13,"[""2fa45349-a749-4ccc-843a-bf690fa544ee"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",29
14,"[""2fa45349-a749-4ccc-843a-bf690fa544ee"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",29
16,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
17,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
18,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
19,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
20,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
21,"[""2fa45349-a749-4ccc-843a-bf690fa544ee"", ""e2abf309-688e-4fd3-b825-72fdb8a83d44""]",29
22,"[""2fa45349-a749-4ccc-843a-bf690fa544ee""]",29
